image,sigma,method,psnr,ssim
PD_coronal_011.npy,0.05,Attention U-Net,36.04091251188319,0.9598878026008606
PD_coronal_015.npy,0.05,Noisy,26.10591338562797,0.680216372013092
PD_coronal_015.npy,0.05,DnCNN,35.16069818006774,0.9608966708183289
PD_coronal_015.npy,0.05,RicianNet,32.305197238571004,0.9277826547622681
PD_coronal_015.npy,0.05,Attention U-Net,34.12027070193059,0.952244222164154
PD_coronal_016.npy,0.05,Noisy,26.156859309966578,0.7110810875892639
PD_coronal_016.npy,0.05,DnCNN,34.650343862640824,0.9643130302429199
PD_coronal_016.npy,0.05,RicianNet,32.22265995113089,0.933961808681488
PD_coronal_016.npy,0.05,Attention U-Net,33.637998078840866,0.9574689865112305
PD_coronal_019.npy,0.05,Noisy,26.18193180044836,0.7276980876922607
PD_coronal_019.npy,0.05,DnCNN,34.418564354010506,0.9649688601493835
PD_coronal_019.npy,0.05,RicianNet,31.68937386742957,0.9335753321647644
PD_coronal_019.npy,0.05,Attention U-Net,32.89572884226135,0.9541810154914856
PD_coronal_027.npy,0.05,Noisy,26.12995882797534,0.7810002565383911
PD_coronal_027.npy,0.05,DnCNN,33.49514739788247,0.9578361511230469
PD_coronal_027.npy,0.05,RicianNet,30.94650887743359,0.9381323456764221
PD_coronal_027.npy,0.05,Attention U-Net,32.249126144534955,0.9474872946739197
PD_coronal_029.npy,0.05,Noisy,26.10528396807387,0.7846792936325073
PD_coronal_029.npy,0.05,DnCNN,33.366781380114965,0.9543361663818359
PD_coronal_029.npy,0.05,RicianNet,30.73818801263572,0.9344472289085388
PD_coronal_029.npy,0.05,Attention U-Net,31.91010780787607,0.942779541015625
PD_coronal_030.npy,0.05,Noisy,26.131280940746187,0.7786321640014648
PD_coronal_030.npy,0.05,DnCNN,33.493209980743536,0.9537433981895447
PD_coronal_030.npy,0.05,RicianNet,30.68219103584609,0.9322693347930908
PD_coronal_030.npy,0.05,Attention U-Net,32.04360717683842,0.9423859119415283
PD_coronal_038.npy,0.05,Noisy,26.232741189869778,0.7519816160202026
PD_coronal_038.npy,0.05,DnCNN,33.665944090464755,0.9514247179031372
PD_coronal_038.npy,0.05,RicianNet,30.949809248700618,0.9285334944725037
PD_coronal_038.npy,0.05,Attention U-Net,32.10538823395903,0.9338283538818359
PD_coronal_041.npy,0.05,Noisy,26.203079891237053,0.7359796166419983
PD_coronal_041.npy,0.05,DnCNN,33.69009811872628,0.950700044631958
PD_coronal_041.npy,0.05,RicianNet,30.894422615825768,0.9230836033821106
PD_coronal_041.npy,0.05,Attention U-Net,31.958667851469148,0.9318651556968689
